datetime,United States : all fuels (utility-scale) thousand megawatthours,United States : coal thousand megawatthours,United States : natural gas thousand megawatthours,United States : nuclear thousand megawatthours,United States : conventional hydroelectric thousand megawatthours,United States : wind thousand megawatthours,United States : all solar thousand megawatthours
2015-11-01 00:00:00,300933.10834000004,87788.97872,101865.77033,60263.941,19380.93563,19693.49854,2725.51233
2015-10-01 00:00:00,312796.85761999997,97408.85096,109920.95049,60570.920999999995,16700.38321,16390.68425,3038.71967
2015-09-01 00:00:00,350985.81865,118488.91327,123247.92115,66466.372,16206.098269999999,13858.72445,3487.12106
2015-08-01 00:00:00,392840.48712,135286.95872999998,138652.94965999998,72415.352,19439.5194,13032.18669,4089.6481700000004
2015-07-01 00:00:00,401021.99483000004,139601.31415999998,140899.79145999998,71412.17599999999,21065.80607,13647.07865,4026.5612899999996
2015-06-01 00:00:00,362735.40934,126139.09005,121396.98964000001,68546.165,20067.56074,13431.94284,3931.53985
2015-05-01 00:00:00,322814.22989,104773.79106,101922.49347999999,65832.604,20186.60199,17167.06671,3799.7355
2015-04-01 00:00:00,294158.38494,88645.60877,92980.47162000001,59757.495,22558.92086,17829.24739,3657.77131
2015-03-01 00:00:00,324760.25976,108543.94199,99139.28924,64546.799000000006,24869.39716,15331.68147,3217.98011
2015-02-01 00:00:00,335562.31941,127150.13669000001,91374.87298,63462.07,22745.67249,14956.62943,2336.63475
2015-01-01 00:00:00,361632.9195,132508.55966,101816.57002,74269.974,24597.9503,15263.03935,1860.20376
2014-12-01 00:00:00,337956.65593,124620.11615999999,91037.8204,73362.548,22328.78862,14711.249469999999,1682.38269
2014-11-01 00:00:00,317495.00913,119127.43937000001,84353.51326,65140.185,18624.92296,18866.928809999998,2052.32648
2014-10-01 00:00:00,314521.99848,111295.95754,97683.01576000001,62390.988,17159.21225,14507.93111,2536.0810699999997
2014-09-01 00:00:00,339886.50552,126110.38461,106581.58567999999,67534.5,16074.32674,11519.76842,2720.7202199999997
2014-08-01 00:00:00,384341.14825,148451.62333,122348.42288,71128.746,19807.24668,10170.52076,2846.46585
2014-07-01 00:00:00,385779.55148,149627.05758,115081.26949,71940.12599999999,24357.40238,12187.39242,2762.83504
2014-06-01 00:00:00,357844.04271,137576.92149,98467.60766000001,68138.232,25743.877669999998,15798.81712,2857.7847100000004
2014-05-01 00:00:00,324724.30011999997,118785.80060999999,89119.67653,62947.43,26543.88511,15601.36684,2676.3601
2014-04-01 00:00:00,297630.58763,109280.59165,76781.87947,56384.587999999996,25439.90661,18635.54917,2325.9526100000003
2014-03-01 00:00:00,331823.05904,136442.60132000002,78150.91836,62397.08,24257.12925,17735.8829,2086.41231
2014-02-01 00:00:00,324348.43555,143294.48747,75942.31445,62638.95,17396.128930000003,14008.66045,1398.4939
2014-01-01 00:00:00,377254.71096,157097.36861,91060.93439,73162.609,21633.79467,17911.214330000003,1281.03156
2013-12-01 00:00:00,353021.24773,141859.66537,92936.2913,71293.578,21128.29918,13967.058809999999,0.0
2013-11-01 00:00:00,314539.64185,120939.72975,84286.78492,64975.456,17676.83384,15803.259680000001,0.0
2013-10-01 00:00:00,314925.46246999997,120996.39294,88587.40151,63183.532999999996,17198.59414,13635.018090000001,0.0
2013-09-01 00:00:00,340940.90155,133110.43729,102063.23333999999,65798.97099999999,16961.1523,11674.08115,0.0
2013-08-01 00:00:00,385285.74515,149426.0529,121156.39695999998,71344.379,21633.315609999998,9633.883679999999,0.0
2013-07-01 00:00:00,394845.6208,152866.8527,120770.9808,70539.238,27254.5715,11093.61355,0.0
2013-06-01 00:00:00,356822.64723,138283.21602999998,99615.06431,66429.69,27384.066560000003,13748.105759999999,0.0
2013-05-01 00:00:00,322155.64041999995,119512.5,83815.59186,62848.155,28450.094110000002,16238.702130000001,0.0
2013-04-01 00:00:00,299332.86831,111834.68254000001,78036.43182,56766.882000000005,25097.10474,17476.27429,0.0
2013-03-01 00:00:00,325398.83402,130633.56035999999,84725.25919,62947.389,20534.35802,15755.653369999998,0.0
2013-02-01 00:00:00,309728.08,123546.80484000001,80283.07377,61483.385,20418.46514,14075.590680000001,0.0
