year,populationx1000
1935,127362
1936,128181
1937,128961
1938,129969
1939,131028
1940,132165
1941,133002
1942,134464
1943,136003
1944,138083
1945,139994
1946,140008
1947,145023
1948,148013
1949,149336
1950,151861
1951,154056
1952,156431
1953,159047
1954,161948
1955,163476
1956,166578
1957,169637
1958,172668
1959,175642
1960,179979
1961,182992
1962,185771
1963,188483
1964,191141
1965,193526
1966,195576
1967,197457
1968,199399
1969,201385
1970,203984
1971,206827
1972,209284
1973,211357
1974,213342
1975,215465
1976,217563
1977,219760
1978,222095
1979,224567
1980,227225
1981,229466
1982,231664
1983,233792
1984,235825
1985,237924
1986,240133
1987,242289
1988,244499
1989,246819
1990,249623
1991,252981
1992,256514
1993,259919
1994,263126
1995,266278
1996,269394
1997,272647
1998,275854
1999,279040
2000,282172
2001,285082
2002,287804
2003,290326
2004,293046
2005,295753
2006,298593
2007,301580
2008,304375
2009,307007
2010,309330
2011,311583
2012,313874
2013,316129
2014,319113
2015,321442
2016,323100
